scientific_name,common_name,full_shade,part_shade,full_sun,low_moisture,medium_moisture,high_moisture,bloom,height,width,habits,pollinator_rating,bird_rating,spread_rating,deer_resistance_rating,moisture_source,moisture_source_detail,shade_source,shade_source_detail,habit_source,habit_source_detail,usda_source,wiki_source,wildflower_source
Carex normalis,,,,,,,,,,,,,,,,,,,,,,,,
Carex obispoensis,,,,,,,,,,,,,,,,,,,,,,,,
Carex obnupta,,,,,,,,,,,,,,,,,,,,,,,,
Carex pansa,,,,,,,,,,,,,,,,,,,,,,,,
Carex pellita,,,,,,,,,,,,,,,,,,,,,,,,
Carex pensylvanica,,,,,,,,,,,,,,,,,,,,,,,,
Carex plantaginea,,,,,,,,,,,,,,,,,,,,,,,,
Carex praegracilis,,,,,,,,,,,,,,,,,,,,,,,,
Carex radiata,,,,,,,,,,,,,,,,,,,,,,,,
Carex rosea,,,,,,,,,,,,,,,,,,,,,,,,
Carex scoparia,,,,,,,,,,,,,,,,,,,,,,,,
Carex sprengelii,,,,,,,,,,,,,,,,,,,,,,,,
Carex stipata,,,,,,,,,,,,,,,,,,,,,,,,
Carex stricta,,,,,,,,,,,,,,,,,,,,,,,,
Carex texensis,,,,,,,,,,,,,,,,,,,,,,,,
Carex tribuloides,,,,,,,,,,,,,,,,,,,,,,,,
Carex utriculata,,,,,,,,,,,,,,,,,,,,,,,,
Carex vulpinoidea,,,,,,,,,,,,,,,,,,,,,,,,
Carex woodii,,,,,,,,,,,,,,,,,,,,,,,,
Carnegiea gigantea,,,,,,,,,,,,,,,,,,,,,,,,
Carpenteria californica,,,,,,,,,,,,,,,,,,,,,,,,
Carpinus caroliniana,,,,,,,,,,,,,,,,,,,,,,,,
Carya cordiformis,,,,,,,,,,,,,,,,,,,,,,,,
Carya glabra,,,,,,,,,,,,,,,,,,,,,,,,
Carya illinoinensis,,,,,,,,,,,,,,,,,,,,,,,,
Carya laciniosa,,,,,,,,,,,,,,,,,,,,,,,,
Carya ovata,,,,,,,,,,,,,,,,,,,,,,,,
Carya tomentosa,,,,,,,,,,,,,,,,,,,,,,,,
Castanea dentata,,,,,,,,,,,,,,,,,,,,,,,,
Castilleja linariifolia,,,,,,,,,,,,,,,,,,,,,,,,
Castilleja miniata,,,,,,,,,,,,,,,,,,,,,,,,
Catalpa speciosa,,,,,,,,,,,,,,,,,,,,,,,,
Ceanothus americanus,,,,,,,,,,,,,,,,,,,,,,,,
Ceanothus crassifolius,,,,,,,,,,,,,,,,,,,,,,,,
Ceanothus fendleri,,,,,,,,,,,,,,,,,,,,,,,,
Ceanothus gloriosus,,,,,,,,,,,,,,,,,,,,,,,,
Ceanothus greggii,,,,,,,,,,,,,,,,,,,,,,,,
Ceanothus griseus,,,,,,,,,,,,,,,,,,,,,,,,
Ceanothus hearstiorum,,,,,,,,,,,,,,,,,,,,,,,,
Ceanothus megacarpus,,,,,,,,,,,,,,,,,,,,,,,,
Ceanothus oliganthus,,,,,,,,,,,,,,,,,,,,,,,,
Ceanothus thyrsiflorus,,,,,,,,,,,,,,,,,,,,,,,,
Ceanothus velutinus,,,,,,,,,,,,,,,,,,,,,,,,
Celtis laevigata,,,,,,,,,,,,,,,,,,,,,,,,
Celtis occidentalis,,,,,,,,,,,,,,,,,,,,,,,,
Celtis pallida,,,,,,,,,,,,,,,,,,,,,,,,
Celtis reticulata,,,,,,,,,,,,,,,,,,,,,,,,
Cephalanthus occidentalis,,,,,,,,,,,,,,,,,,,,,,,,
Cercidium floridum,,,,,,,,,,,,,,,,,,,,,,,,
Cercidium microphyllum,,,,,,,,,,,,,,,,,,,,,,,,
Cercis canadensis,,,,,,,,,,,,,,,,,,,,,,,,
Cercis occidentalis,,,,,,,,,,,,,,,,,,,,,,,,
Cercocarpus betuloides,,,,,,,,,,,,,,,,,,,,,,,,
Cercocarpus intricatus,,,,,,,,,,,,,,,,,,,,,,,,
Cercocarpus ledifolius,,,,,,,,,,,,,,,,,,,,,,,,
Cercocarpus montanus,,,,,,,,,,,,,,,,,,,,,,,,
Chaenactis glabriuscula,,,,,,,,,,,,,,,,,,,,,,,,
Chamaebatia foliolosa,,,,,,,,,,,,,,,,,,,,,,,,
Chamaecrista fasciculata,,,,,,,,,,,,,,,,,,,,,,,,
Chamaecrista nictitans,,,,,,,,,,,,,,,,,,,,,,,,
Chamaecyparis lawsoniana,,,,,,,,,,,,,,,,,,,,,,,,
Chamaecyparis thyoides,,,,,,,,,,,,,,,,,,,,,,,,
Chamaesyce celastroides,,,,,,,,,,,,,,,,,,,,,,,,
Chamerion angustifolium,,,,,,,,,,,,,,,,,,,,,,,,
Charpentiera densiflora,,,,,,,,,,,,,,,,,,,,,,,,
Charpentiera ovata,,,,,,,,,,,,,,,,,,,,,,,,
Chasmanthium latifolium,,,,,,,,,,,,,,,,,,,,,,,,
Chelone glabra,,,,,,,,,,,,,,,,,,,,,,,,
Chilopsis linearis,,,,,,,,,,,,,,,,,,,,,,,,
Chimaphila maculata,,,,,,,,,,,,,,,,,,,,,,,,
Chimaphila umbellata,,,,,,,,,,,,,,,,,,,,,,,,
Chionanthus virginicus,,,,,,,,,,,,,,,,,,,,,,,,
Chlorogalum pomeridianum,,,,,,,,,,,,,,,,,,,,,,,,
Chrysactinia mexicana,,,,,,,,,,,,,,,,,,,,,,,,
Chrysobalanus icaco,,,,,,,,,,,,,,,,,,,,,,,,
Chrysogonum virginianum,,,,,,,,,,,,,,,,,,,,,,,,
Chrysopsis mariana,,,,,,,,,,,,,,,,,,,,,,,,
Chrysopsis texana,,,,,,,,,,,,,,,,,,,,,,,,
Chrysothamnus nauseosus,,,,,,,,,,,,,,,,,,,,,,,,
Cibotium glaucum,,,,,,,,,,,,,,,,,,,,,,,,
Cimicifuga racemosa,,,,,,,,,,,,,,,,,,,,,,,,
Circaea lutetiana,,,,,,,,,,,,,,,,,,,,,,,,
Cirsium canescens,,,,,,,,,,,,,,,,,,,,,,,,
Cirsium discolor,,,,,,,,,,,,,,,,,,,,,,,,
Cirsium horridulum,,,,,,,,,,,,,,,,,,,,,,,,
Cirsium texanum,,,,,,,,,,,,,,,,,,,,,,,,
Cirsium undulatum,,,,,,,,,,,,,,,,,,,,,,,,
Citharexylum caudatum,,,,,,,,,,,,,,,,,,,,,,,,
Citharexylum spinosum,,,,,,,,,,,,,,,,,,,,,,,,
Cladium jamaicense,,,,,,,,,,,,,,,,,,,,,,,,
Clarkia amoena,,,,,,,,,,,,,,,,,,,,,,,,
Clarkia rubicunda,,,,,,,,,,,,,,,,,,,,,,,,
Clarkia speciosa,,,,,,,,,,,,,,,,,,,,,,,,
Clarkia unguiculata,,,,,,,,,,,,,,,,,,,,,,,,
