id,name,url,address,city,state,zip,lat,long
129,Winding Stair Farm and Nursery,,57 Saunders Road,Franklin,NC,28734,35.1767990212788,-83.3432068085096
130,"Avonlea Gardens & Inn, LLC",https://avonleagardensandinn.com/,12511 Fowlers Mill Rd,Chardon,OH,44024,41.5286145961538,-81.2561611538462
131,Bensell Greenhouse,,5720 Dorr St,Toledo,OH,43615,41.6537282841932,-83.6773399982437
132,Bostdorff Greenhouse Acres Ltd.,https://www.bostdorffs.com,18862 N. Dixie Hwy,Bowling Green,OH,43402,41.4273099304418,-83.6510271062992
133,Five Springs Farm,http://www.fivespringsfarm.com/,12691 Dutch Creek Road,Athens,OH,45701,39.3936748937795,-82.051874494686
134,"Keystone Flora, LLC",https://keystoneflora.com/,5045 Wooden Shoe Hollow Lane,Cincinatti,OH,45232,39.18412,-84.51919
135,Leaves for Wildlife,https://www.leavesforwildlife.com/,1655 N County Rd 605,Sunbury,OH,43074,40.231834,-82.790769
136,Natives in Harmony,https://www.nativesinharmony.com/,4652 Township Road 179,Marengo,OH,43334,40.440966,-82.774858
137,"Riverside Native Trees and Nursery, LLC",,2295 River Road,Delaware,OH,43015,40.357519,-83.180978
138,Scioto Gardens Nursery,https://sciotogardens.com/,3351 State Route 37,West Delaware,OH,43015,40.3181157,-83.132674000105
139,Star Farms Native Plants,,14789 State Route 292,Kenton,OH,43326,40.639365,-83.614912
140,Native Plants,http://www.nativeplantsokc.com,1330 NW 1st Street,Oklahoma City,OK,73106,35.4688103365267,-97.535278918655
141,Arcadia Natives,https://arcadianatives.com/,2273 S. Main St. Ext.,Washington,PA,15301,40.118703,-80.222882
142,Ernst Conservation Seeds,https://www.ernstseed.com,8884 Mercer Pike,Meadville,PA,16335,41.5879310442436,-80.1569339444877
143,Gino's Nursery,,2237 Second Street Pike,Newtown,PA,18940,40.2618068157986,-74.9989525446389
144,"Harmony Hill Nursery, LLC",http://www.hhnurseryllc.com,45 Buck Rd,Downingtown,PA,19335,40.022553141467,-75.7369878200389
145,Northbrook Natives,https://www.northbrooknatives.com/,307 Beagle Rd,West Chester,PA,19382,39.9198942104125,-75.6926064375211
146,Northcreek Nurseries,,388 North Creek Road,Landenberg,PA,19350,39.7753352857081,-75.8079261648315
